"Eps","Title","Writers","Director","Original_AirDate","Description","Season","URL"
"1 - 1","Space Pilot 3000","D.X. Cohen, M. Groening","R. Moore, G. Vanzo","March 28, 1999","A pizza delivery boy named Philip J. Fry accidentally stumbles into a cryogenic tube on D<U+0435>cember 31, 1999 and awakens on New Year's Eve in the year 2999, where he meets a mutant career counselor namedLeela, an alcoholic robot named Bender, and his distant nephew Professor Farnsworth.","Season 1","https://futurama.fandom.com/wiki/Space_Pilot_3000"
"2 - 2","The Series Has Landed","Ken Keeler","Peter Avanzino","April 4, 1999","After delivering a package to an amusement park on the moon, Fry shows Leela how to appreciate the celestial body while Bender and Amy must try to recover the keys to the Planet Express ship.","Season 1","https://futurama.fandom.com/wiki/The_Series_Has_Landed"
"3 - 3","I, Roommate","Eric Horsted","Bret Haaland","April 6, 1999","Fry gets kicked out of the Planet Express building and tries to find a place to live. When Bender's antenna wreaks havoc on the TV reception, Bender is kicked out of their new apartment and Fry must decide whether or not a place to live is more important than his best friend.","Season 1","https://futurama.fandom.com/wiki/I,_Roommate"
"4 - 4","Love's Labours Lost in Space","Brian Kelley","Brian Sheesley","April 13, 1999","Leela meets Captain Zapp Brannigan on a mission to rescue animals from a hollow planet, depleted of all the dark matter that once filled it, on the verge of collapse, but Brannigan jails the crew for interfering. This episode sees the introduction of Nibbler.","Season 1","https://futurama.fandom.com/wiki/Love's_Labours_Lost_in_Space"
"5 - 5","Fear of a Bot Planet","H. Lombard, E. Gore","P. Avanzino, C. Baeza","April 20, 1999","Bender delivers a package to a Chapek 9 inhabited solely by human-hating robots and becomes an idol to them.","Season 1","https://futurama.fandom.com/wiki/Fear_of_a_Bot_Planet"
"6 - 6","A Fishful of Dollars","Patric M. Verrone","R. Hughart, G. Vanzo","April 27, 1999","When Fry discovers that he's a billionaire thanks to a thousand years of compound interest on 93 cents, he uses the money to buy back things from his the 20th century. This includes spending millions on a can of anchovies, which are extinct in the year 3000. Mom, head of Mom's Friendly Robot Company, wants the anchovies for very different reasons.","Season 1","https://futurama.fandom.com/wiki/A_Fishful_of_Dollars"
"7 - 7","My Three Suns","J. Stewart Burns","J. Lynch, K. O'Brien","May 4, 1999","Fry becomes emperor of a Trisol of water-based beings after he accidentally drinks the former ruler, Bont.","Season 1","https://futurama.fandom.com/wiki/My_Three_Suns"
"8 - 8","A Big Piece of Garbage","Lewis Morton","Susie Dietter","May 11, 1999","A 21st-century garbage ball threatens to fall back to Earth and destroy New New York. Fry saves the day with his 20th-century garbage-making skills.","Season 1","https://futurama.fandom.com/wiki/A_Big_Piece_of_Garbage"
"9 - 9","Hell Is Other Robots","Eric Kaplan","Rich Moore","May 18, 1999","To break his addiction to electricity, Bender finds religion by becoming a member of the Temple of Robotology. But when he reverts to his old ways, he is sent to Robot Hell.","Season 1","https://futurama.fandom.com/wiki/Hell_Is_Other_Robots"
"10-1","A Flight to Remember","E. Horsted","P. Avanzino","September 26, 1999","The Planet Express crew is sent on board the Titanic on a company vacation. Zapp Brannigan later steers the ship near a black hole. Bender falls in love with a countess and develops a strong commitment for her","Season 2","https://futurama.fandom.com/wiki/A_Flight_to_Remember"
